32000x32000 for 100 steps, 5 repeats, using mpi: False

pull_unrolled   15242.501280046698 +- 165.79394010070496, min 15533.923786615427, max 15138.02857783497
push_unrolled   15011.280085548304 +- 21.789914188610346, min 15042.377384097497, max 14989.793168772761
pull_uncont     12088.267990828119   +- 231.50406029970617, min 12239.971262440846, max 11678.248968860284
push_uncont     8989.053798710216   +- 45.013599571900286, min 9056.743791324525, max 8941.11798955422
pull_rolled     15256.683129426867   +- 366.5739079183326, min 15911.796046499152, max 15076.87385546025
push_rolled     14943.860932331674   +- 27.021116089150357, min 14973.475616804515, max 14907.316690443555
pull_double     7556.20658268958   +- 33.368921229087505, min 7579.909057796562, max 7497.342746047593
push_double     7570.773650992784   +- 21.6136501830415, min 7596.064484494, max 7546.757387910472
