32000x32000 for 100 steps, 5 repeats, using mpi: False

pull_unrolled   28603.662947854602   +- 7.147837461444218,  min 28610.60933206058,  max 28594.7589906097
push_unrolled   28175.800587975507   +- 8.159538454552164,  min 28187.000425657563, max 28166.643838802953
pull_uncont     13306.991294064826   +- 172.22660059878717, min 13384.758301478161, max 12998.904368177022
push_uncont     14574.825439799955   +- 1.55821448385147,   min 14576.28156721599,  max 14572.438559699844
pull_rolled     28262.208902264403   +- 733.9867247039255,  min 28594.712757746955, max 26949.23837906042
push_rolled     28146.886079150212   +- 10.62945205570303,  min 28155.51015130655,  max 28130.04536675264
pull_double     14023.482631816645   +- 426.71752715835623, min 14216.695650417332, max 13260.165688531011
push_double     14211.876455747852   +- 2.7022435657435238, min 14215.267996118238, max 14208.626076000495
